# Distribution of neutrino fluxes in the Solar Fusion II AGSS09 standard solar model model.
# 
# Solar Models with Accretion I. Application to the Solar Abundance Problem
# arxiv:1104:1639 - ApJ, 743, 24S
#
# The cumulative neutrino fluxes from Table 1 of AGSS09 model are given in the row below.
# 
# 6.03E+00 1.47E-02 8.31E-07 4.56E-01 4.59E-04 2.17E-02 1.56E-02 3.40E-04 
#
# 
# Columns in the Table below represent:
#
# 1) Radius of the zone in units of one solar radius
# 2) Temperature in units of 10^6 deg (K)
# 3) Logarithm (to the base 10) of the electron density in units of
#   cm^{-3}/N_A, where N_A is the Avogadro number
# 4) Mass of the zone with the given radius in units of one solar mass 
# 5) Fraction of pp neutrinos produced in the zone 
# 6) Fraction of pep neutrinos produced in the zone
# 7) Fraction of hep neutrinos produced in the zone
# 8) Fraction of beryllium 7 neutrinos produced in the zone
# 9) Fraction of boron 8 neutrinos produced in the zone
# 10) Fraction of nitrogen 13 neutrinos produced in the zone
# 11) Fraction of oxygen 15 neutrinos produced in the zone
# 12) Fraction of florine 17 neutrinos produced in the zone

0.0130 15.406 2.004  2.55843430e-05  3.442236e-01  5.348393e-01  1.479870e-01  1.634851e+00  3.920344e+00  2.375310e+00  3.300424e+00  3.604053e+00  
0.0135 15.401 2.004  2.76104917e-05  3.708595e-01  5.758666e-01  1.596610e-01  1.756542e+00  4.199622e+00  2.545271e+00  3.536581e+00  3.861073e+00  
0.0140 15.397 2.003  2.97102120e-05  3.984459e-01  6.183036e-01  1.717856e-01  1.881851e+00  4.485326e+00  2.719268e+00  3.778344e+00  4.124057e+00  
0.0145 15.392 2.003  3.18740078e-05  4.269767e-01  6.621350e-01  1.843616e-01  2.010676e+00  4.777042e+00  2.897066e+00  4.025389e+00  4.392636e+00  
0.0150 15.388 2.003  3.40982670e-05  4.564455e-01  7.073451e-01  1.973898e-01  2.142912e+00  5.074352e+00  3.078423e+00  4.277380e+00  4.666432e+00  
0.0155 15.383 2.002  3.64262272e-05  4.868456e-01  7.539179e-01  2.108712e-01  2.278450e+00  5.376830e+00  3.263096e+00  4.533977e+00  4.945058e+00  
0.0160 15.378 2.002  3.88145465e-05  5.181703e-01  8.018363e-01  2.248067e-01  2.417179e+00  5.684045e+00  3.450837e+00  4.794838e+00  5.228131e+00  
0.0165 15.373 2.002  4.12539135e-05  5.504120e-01  8.510831e-01  2.391970e-01  2.558987e+00  5.995558e+00  3.641393e+00  5.059611e+00  5.515250e+00  
0.0170 15.367 2.001  4.37996084e-05  5.835639e-01  9.016407e-01  2.540430e-01  2.703757e+00  6.310931e+00  3.834516e+00  5.327949e+00  5.806025e+00  
0.0175 15.362 2.001  4.63819379e-05  6.176179e-01  9.534904e-01  2.693455e-01  2.851370e+00  6.629715e+00  4.029946e+00  5.599493e+00  6.100050e+00  
0.0180 15.356 2.001  4.90459583e-05  6.525663e-01  1.006614e+00  2.851051e-01  3.001708e+00  6.951466e+00  4.227433e+00  5.873895e+00  6.396930e+00  
0.0185 15.350 2.000  5.17542098e-05  6.884012e-01  1.060992e+00  3.013227e-01  3.154649e+00  7.275737e+00  4.426720e+00  6.150799e+00  6.696265e+00  
0.0190 15.344 2.000  5.45981894e-05  7.251139e-01  1.116604e+00  3.179989e-01  3.310069e+00  7.602075e+00  4.627548e+00  6.429844e+00  6.997648e+00  
0.0195 15.338 1.999  5.74448145e-05  7.626961e-01  1.173431e+00  3.351344e-01  3.467841e+00  7.930031e+00  4.829660e+00  6.710673e+00  7.300674e+00  
0.0200 15.332 1.999  6.03812741e-05  8.011386e-01  1.231451e+00  3.527297e-01  3.627838e+00  8.259148e+00  5.032793e+00  6.992920e+00  7.604930e+00  
0.0205 15.325 1.998  6.34575454e-05  8.404327e-01  1.290644e+00  3.707854e-01  3.789932e+00  8.588985e+00  5.236699e+00  7.276241e+00  7.910028e+00  
0.0210 15.319 1.998  6.64349760e-05  8.805685e-01  1.350987e+00  3.893020e-01  3.953992e+00  8.919093e+00  5.441123e+00  7.560283e+00  8.215574e+00  
0.0215 15.312 1.997  6.96391400e-05  9.215370e-01  1.412460e+00  4.082799e-01  4.119887e+00  9.249020e+00  5.645798e+00  7.844672e+00  8.521140e+00  
0.0220 15.305 1.997  7.27741007e-05  9.633277e-01  1.475039e+00  4.277194e-01  4.287482e+00  9.578328e+00  5.850484e+00  8.129077e+00  8.826359e+00  
0.0225 15.298 1.997  7.60343042e-05  1.005931e+00  1.538702e+00  4.476209e-01  4.456646e+00  9.906585e+00  6.054936e+00  8.413159e+00  9.130847e+00  
0.0230 15.291 1.996  7.94564740e-05  1.049336e+00  1.603424e+00  4.679843e-01  4.627245e+00  1.023336e+01  6.258910e+00  8.696574e+00  9.434220e+00  
0.0235 15.284 1.995  8.27922309e-05  1.093533e+00  1.669183e+00  4.888100e-01  4.799142e+00  1.055821e+01  6.462150e+00  8.978971e+00  9.736081e+00  
0.0240 15.276 1.995  8.62450709e-05  1.138510e+00  1.735955e+00  5.100981e-01  4.972201e+00  1.088073e+01  6.664421e+00  9.260020e+00  1.003606e+01  
0.0245 15.269 1.994  8.97951583e-05  1.184257e+00  1.803713e+00  5.318484e-01  5.146284e+00  1.120049e+01  6.865474e+00  9.539378e+00  1.033377e+01  
0.0250 15.261 1.994  9.33036554e-05  1.230762e+00  1.872435e+00  5.540610e-01  5.321257e+00  1.151710e+01  7.065094e+00  9.816746e+00  1.062889e+01  
0.0255 15.253 1.993  9.69631883e-05  1.278013e+00  1.942094e+00  5.767353e-01  5.496984e+00  1.183015e+01  7.263051e+00  1.009180e+01  1.092104e+01  
0.0260 15.245 1.993  1.00800850e-04  1.326000e+00  2.012665e+00  5.998715e-01  5.673322e+00  1.213924e+01  7.459093e+00  1.036420e+01  1.120984e+01  
0.0265 15.237 1.992  1.04264399e-04  1.374708e+00  2.084121e+00  6.234685e-01  5.850140e+00  1.244401e+01  7.653053e+00  1.063370e+01  1.149503e+01  
0.0270 15.229 1.992  1.08472343e-04  1.424128e+00  2.156437e+00  6.475263e-01  6.027302e+00  1.274408e+01  7.844676e+00  1.089996e+01  1.177622e+01  
0.0275 15.220 1.991  1.11988419e-04  1.474245e+00  2.229585e+00  6.720441e-01  6.204660e+00  1.303907e+01  8.033751e+00  1.116267e+01  1.205308e+01  
0.0280 15.212 1.990  1.15909852e-04  1.525046e+00  2.303538e+00  6.970210e-01  6.382096e+00  1.332866e+01  8.220138e+00  1.142165e+01  1.232540e+01  
0.0285 15.203 1.990  1.20193854e-04  1.576520e+00  2.378271e+00  7.224560e-01  6.559463e+00  1.361250e+01  8.403585e+00  1.167655e+01  1.259279e+01  
0.0290 15.194 1.989  1.24141984e-04  1.628652e+00  2.453753e+00  7.483484e-01  6.736629e+00  1.389026e+01  8.583916e+00  1.192711e+01  1.285498e+01  
0.0295 15.185 1.989  1.28148179e-04  1.681429e+00  2.529959e+00  7.746970e-01  6.913463e+00  1.416163e+01  8.760956e+00  1.217311e+01  1.311169e+01  
0.0300 15.176 1.988  1.32288852e-04  1.734838e+00  2.606858e+00  8.015004e-01  7.089832e+00  1.442631e+01  8.934529e+00  1.241428e+01  1.336268e+01  
0.0305 15.167 1.987  1.36607410e-04  1.788865e+00  2.684424e+00  8.287576e-01  7.265593e+00  1.468397e+01  9.104411e+00  1.265033e+01  1.360757e+01  
0.0310 15.157 1.987  1.40792970e-04  1.843494e+00  2.762627e+00  8.564666e-01  7.440632e+00  1.493440e+01  9.270521e+00  1.288114e+01  1.384628e+01  
0.0315 15.148 1.986  1.44812105e-04  1.898713e+00  2.841438e+00  8.846259e-01  7.614809e+00  1.517728e+01  9.432662e+00  1.310643e+01  1.407849e+01  
0.0320 15.138 1.985  1.49740796e-04  1.954506e+00  2.920829e+00  9.132338e-01  7.788006e+00  1.541240e+01  9.590694e+00  1.332601e+01  1.430399e+01  
0.0325 15.128 1.985  1.53624292e-04  2.010858e+00  3.000769e+00  9.422878e-01  7.960090e+00  1.563950e+01  9.744488e+00  1.353971e+01  1.452260e+01  
0.0330 15.118 1.984  1.58194038e-04  2.067755e+00  3.081230e+00  9.717866e-01  8.130941e+00  1.585838e+01  9.893903e+00  1.374732e+01  1.473410e+01  
0.0335 15.108 1.983  1.62755648e-04  2.125181e+00  3.162181e+00  1.001728e+00  8.300430e+00  1.606881e+01  1.003877e+01  1.394861e+01  1.493823e+01  
0.0340 15.098 1.982  1.67304293e-04  2.183122e+00  3.243593e+00  1.032109e+00  8.468438e+00  1.627059e+01  1.017899e+01  1.414345e+01  1.513486e+01  
0.0345 15.088 1.982  1.72197484e-04  2.241560e+00  3.325437e+00  1.062927e+00  8.634858e+00  1.646359e+01  1.031450e+01  1.433174e+01  1.532391e+01  
0.0350 15.077 1.981  1.76339265e-04  2.300482e+00  3.407679e+00  1.094179e+00  8.799561e+00  1.664761e+01  1.044515e+01  1.451329e+01  1.550516e+01  
0.0355 15.066 1.980  1.81519767e-04  2.359870e+00  3.490294e+00  1.125863e+00  8.962451e+00  1.682254e+01  1.057092e+01  1.468804e+01  1.567857e+01  
0.0360 15.056 1.979  1.85962336e-04  2.419708e+00  3.573247e+00  1.157976e+00  9.123395e+00  1.698820e+01  1.069163e+01  1.485576e+01  1.584389e+01  
0.0365 15.045 1.979  1.90455480e-04  2.479980e+00  3.656509e+00  1.190514e+00  9.282301e+00  1.714452e+01  1.080726e+01  1.501644e+01  1.600111e+01  
0.0370 15.034 1.978  1.95770295e-04  2.540671e+00  3.740052e+00  1.223474e+00  9.439049e+00  1.729134e+01  1.091766e+01  1.516985e+01  1.614999e+01  
0.0375 15.023 1.977  2.00256869e-04  2.601763e+00  3.823842e+00  1.256853e+00  9.593549e+00  1.742864e+01  1.102287e+01  1.531604e+01  1.629064e+01  
0.0380 15.012 1.976  2.05836493e-04  2.663239e+00  3.907851e+00  1.290646e+00  9.745710e+00  1.755633e+01  1.112284e+01  1.545495e+01  1.642297e+01  
0.0385 15.000 1.976  2.10836741e-04  2.725084e+00  3.992048e+00  1.324851e+00  9.895402e+00  1.767429e+01  1.121735e+01  1.558628e+01  1.654666e+01  
